Country,Year_Semester,Definition,Value,Unit,Variable_ID,Equivalence,Aggregation_Level_1,Aggregation_Level_2,Aggregation_Level_3,Year_Date
Argentina,2006-II,Percentage of external legislation debt that is Market debt,28,% of external debt,marext,(12)/(20),Non Official,Share of external ,Marketeable,
Argentina,2006-II,Percentage of external legislation debt that is Other debt,39,% of external debt,othext,(15)/(20),Non Official,Share of external ,Other,
Argentina,2006-II,Sum of all shares of external legislation debt,100,% of external debt,credtype_ext_sumshares,-,Non Official,Share of external ,Sum shares,
Argentina,2006-II,Sum of debt with official and non-official sources,162801,Millions of USD,credtype_total,(1')=(7)+(8),Total Debt,Total Debt,Total Debt,
Argentina,2006-II,Official debt under external legislation,21181,Millions of USD,officialexternaldebt,(18)=(7),Legislation and Creditor,External,Official,
Argentina,2006-II,Total non-official debt under external legislation,45910,Millions of USD,nonofficialexternaldebt,(19)=(9)+(12)+(15),Legislation and Creditor,External,Non-official,
Argentina,2006-II,Total debt under external legislation,67092,Millions of USD,external,(20)=(18)+(19),Legislation and Creditor,External,Total,
Argentina,2006-II,Total debt under internal legislation,95709,Millions of USD,totaldomestic,(21)=(10)+(13)+(16),Legislation and Creditor,Internal,Total,
Argentina,2006-II,Total debt under internal and external legislations,162801,Millions of USD,legandcred_total,(22)=(20)+(21),Legislation and Creditor,Total Debt,Total Debt,
Argentina,2006-II,External legislation debt to total debt ratio,41,% of total debt,legandcred_ext_tot,(20)/(22),Legislation and Creditor,External/total debt ,External/total debt ,
Argentina,2006-II,Internal legislation debt to total debt ratio,59,% of total debt,legandcred_int_tot,(21)/(22),Legislation and Creditor,Internal/total debt ,Internal/total debt ,
Argentina,2006-II,Total debt under external legislation issued in foreign currency,67092,Millions of USD,for_ext,(23),Currency & Legislation,Foreign currency,External,
Argentina,2006-II,Total debt under internal legislation issued in foreign currency,30160,Millions of USD,for_int,(24),Currency & Legislation,Foreign currency,Internal,
Argentina,2006-II,Total debt under external legislation issued in domestic currency,0,Millions of USD,dom_ext,(25),Currency & Legislation,Domestic currency,External,
Argentina,2006-II,Total debt under internal legislation issued in domestic currency,65549,Millions of USD,dom_int,(26),Currency & Legislation,Domestic currency,Internal,
Argentina,2006-II,Sum of the 4 currency and legislation disaggregations,162801,Millions of USD,currandleg_total,(27)= (23)+(24)+(25)+(26),Currency & Legislation,Total Debt,Total Debt,
Argentina,2006-II,Debt  with short remaining maturity (less than 1 year)  that has been issued under external legislation,2581,Millions of USD,totaldebt_short_term_ext,(28),Maturity & Legislation,Short,External,
Argentina,2006-II,Debt  with short remaining maturity  (less than 1 year)  that has been issued under internal legislation,14349,Millions of USD,totaldebt_short_term_int,(29),Maturity & Legislation,Short,Internal,
Argentina,2006-II,Total debt  with short remaining  (less than 1 year)  maturity,16930,Millions of USD,totaldebt_short_term,(30)=  (28)+(29),Maturity & Legislation,Short,Total,
Argentina,2006-II,Debt  with medium remaining maturity (1 to 5 years) that has been issued under external legislation,6743,Millions of USD,totaldebt_med_term_ext,(31),Maturity & Legislation,Medium,External,
Argentina,2006-II,Debt  with medium remaining maturity (1 to 5 years) that has been issued under internal legislation,27429,Millions of USD,totaldebt_med_term_int,(32),Maturity & Legislation,Medium,Internal,
Argentina,2006-II,Total debt  with medium remaining (1 to 5 years) maturity,34172,Millions of USD,totaldebt_med_term,(33)=   (31)+(32),Maturity & Legislation,Medium,Total,
Argentina,2006-II,Debt  with long remaining maturity (over 5 years) that has been issued under external legislation,57768,Millions of USD,totaldebt_long_term_ext,(34),Maturity & Legislation,Long,External,
Argentina,2006-II,Debt  with long remaining maturity (over 5 years) that has been issued under internal legislation,53931,Millions of USD,totaldebt_long_term_int,(35),Maturity & Legislation,Long,Internal,
Argentina,2006-II,Total debt  with long (over 5 years) remaining maturity,111699,Millions of USD,totaldebt_long_term,(36)= (34)+(35),Maturity & Legislation,Long,Total,
Argentina,2006-II,Average remaining maturity for debt under external legislation,9,Years,avgmat_ext,(37),Maturity & Legislation,Average Maturity,External,
Argentina,2006-II,Average remaining maturity for debt under internal legislation,7,Years,avgmat_int,(38),Maturity & Legislation,Average Maturity,Internal,
Argentina,2006-II,Sum of the maturity and legislation disaggregations,162801,Millions of USD,matandleg_total,(39)=    (30)+(33)+(36),Maturity & Legislation,TOTAL,TOTAL,
Argentina,2006-II,Debt  with short remaining maturity (less than 1 year)  that has been issued under foreign currency,5130,Millions of USD,short_extcurr,(40),Maturity & Currency,Short,Foreign,
Argentina,2006-II,Debt  with short remaining maturity  (less than 1 year)  that has been issued under domestic currency,11800,Millions of USD,short_intcurr,(41),Maturity & Currency,Short,Domestic,
Argentina,2006-II,Total debt  with short remaining  (less than 1 year)  maturity,16930,Millions of USD,matandcurr_short_tot,(42)=   (40)+(41),Maturity & Currency,Short,Total,
Argentina,2006-II,Debt  with medium remaining maturity (1 to 5 years) that has been issued under foreign currency,18366,Millions of USD,med_extcurr,(43),Maturity & Currency,Medium,Foreign,
Argentina,2006-II,Debt  with medium remaining maturity (1 to 5 years) that has been issued under domestic currency,15806,Millions of USD,med_intcurr,(44),Maturity & Currency,Medium,Domestic,
Argentina,2006-II,Total debt  with medium remaining (1 to 5 years) maturity,34172,Millions of USD,matandcurr_med_tot,(45)=   (43)+(44),Maturity & Currency,Medium,Total,
Argentina,2006-II,Debt  with long remaining maturity (over 5 years) that has been issued under foreign currency,73756,Millions of USD,long_extcurr,(46),Maturity & Currency,Long,Foreign,
Argentina,2006-II,Debt  with long remaining maturity (over 5 years) that has been issued under domestic currency,37943,Millions of USD,long_intcurr,(47),Maturity & Currency,Long,Domestic,
Argentina,2006-II,Total debt  with long (over 5 years) remaining maturity,111699,Millions of USD,matandcurr_long_tot,(48)=    (46)+(47),Maturity & Currency,Long,Total,
Argentina,2006-II,Sum of the maturity and currency disaggregations,162801,Millions of USD,matandcurr_tot,(49)=   (42)+(45)+(48),Maturity & Currency,TOTAL,TOTAL,
Argentina,2006-II,Debt  issued in (non-indexed) foreign currency with a fixed rate,55825,Millions of USD,for_n-i_fr,(50),Currency & Rate,Foreign,Non indexed - Fixed,
Argentina,2006-II,Debt  issued in (non-indexed) foreign currency with a floating rate,41426,Millions of USD,for_n-i_flr,(51),Currency & Rate,Foreign,Non indexed - Floating,
Argentina,2006-II,Debt  issued in (indexed) foreign currency with a fixed rate,0,Millions of USD,for_i_fr,(52),Currency & Rate,Foreign,Indexed - Fixed,
Argentina,2006-II,Debt  issued in (indexed) foreign currency with a floating rate,0,Millions of USD,for_i_flr,(53),Currency & Rate,Foreign,Indexed - Floating,
Argentina,2006-II,Sum of the foreign currency and rate disaggretations,97252,Millions of USD,tot_debt_for,(54)= (50)+(51)+(52)+(53),Currency & Rate,Foreign,Total,
Argentina,2006-II,Debt  issued in (non-indexed) domestic currency with a fixed rate,3051,Millions of USD,dom_n-i_fr,(55),Currency & Rate,Domestic,Non indexed - Fixed,
Argentina,2006-II,Debt  issued in (non-indexed) domestic currency with a floating rate,6096,Millions of USD,dom_n-i_flr,(56),Currency & Rate,Domestic,Non indexed - Floating,
Argentina,2006-II,Debt  issued in (indexed) domestic currency with a fixed rate,56402,Millions of USD,dom_i_fr,(57),Currency & Rate,Domestic,Indexed - Fixed,
Argentina,2006-II,Debt  issued in (indexed) domestic currency with a floating rate,0,Millions of USD,dom_i_flr,(58),Currency & Rate,Domestic,Indexed - Floating,
Argentina,2006-II,Sum of the domestic currency and rate disaggretations,65549,Millions of USD,tot_debt_dom,(59)=   (55)+(56)+(57)+(58),Currency & Rate,Domestic,Total,
Argentina,2006-II,Total debt  under indexed currency as % of total debt,35,% of total debt,debt_index,60=[+(52)+(53)+(57)+(58)]/(1),Currency & Rate,%  of Total Gross Debt,Indexed,
Argentina,2006-II,Total debt  under non-indexed currency as % of total debt,65,% of total debt,debt_nonindex,(61)=[(50)+(51)+(55)+(56)]/(1),Currency & Rate,%  of Total Gross Debt,Non indexed,
Argentina,2006-II,Sum of the currency and rate disaggregations,162801,Millions of USD,currandrate_tot,(63)=(54)+(59),Currency & Rate,TOTAL,TOTAL,
Argentina,2006-II,Debt held by the Central Bank (non-marketable debt is excluded),17748,Millions of USD,heldby_cb,(64),By Holder,Central Bank,Central Bank,
Argentina,2006-II,Debt  held by other parties than the Central Bank (official creditors and non-official creditors),145053,Millions of USD,heldby_others,(65),By Holder,Others,Others,
Argentina,2006-II,Sum of debt by holders,162801,Millions of USD,heldby_tot,(66)=(64)+(65),By Holder,Total Gross Debt,Total Gross Debt,
Argentina,2006-II,Debt held by the Central Bank (non-marketable debt is excluded),17748,Millions of USD,crossholding,(67)=(64),Net Debt,Central Bank Holdings of Public Debt,Central Bank Holdings of Public Debt,
Argentina,2006-II,Total debt net of Central Bank's holdings,145053,Millions of USD,net_debt_1,(68)=(1)-(67),Net Debt,NetDebt1,NetDebt1,
Argentina,2006-II,International Reserves at the Central Bank,32037,Millions of USD,reserves,(69),Net Debt,Reserves,Reserves,
Argentina,2006-II,Total debt net of both Central Bank's holdings and International Reserves.,113016,Millions of USD,net_debt_2,(70)=(68)-(69),Net Debt,NetDebt2,NetDebt2,
Argentina,2006-II,Private Pension Funds (PPF) Assets ,26340,Millions of USD,PPFassets,(71),Net Debt,PPFassets,PPFassets,
Argentina,2006-II,"Total debt net of Central Bank's holdings, International Reserves and PPF Assets",86675,Millions of USD,net_debt_3,(72)=(70)-(71),Net Debt,NetDebt3,NetDebt3,
Argentina,2006-II,Payments on principal made on external debt,11953,Millions of USD,pay_ppcal_ext,(73),Payments made,Principal,External,
Argentina,2006-II,Payments on principal made on internal debt,16254,Millions of USD,pay_ppal_int,(74),Payments made,Principal,Internal,
Argentina,2006-II,Payments on principal made on internal and external debt,28207,Millions of USD,pay_ppal_tot,(75)=(73)+(74),Payments made,Principal,Total,
Argentina,2006-II,Payments on Interest made on external debt,1320,Millions of USD,pay_int_ext,(76),Payments made,Interest,External,
Argentina,2006-II,Payments on Interest made on internal debt,2229,Millions of USD,pay_int_int,(77),Payments made,Interest,Internal,
Argentina,2006-II,Payments on interest made on internal and external debt,3549,Millions of USD,pay_int_tot,(78)=     (76)+(77),Payments made,Interest,Total,
Argentina,2006-II,Total payments made (obtained by adding principal and interest payments),31757,Millions of USD,pay_tot_kind,(79)=    (75)+(78),Payments made,Total,Total,
Argentina,2006-II,Payments on principal of debt held by the Central Bank,,Millions of USD,pay_ppal_CB,(80),Payments made,Central Bank,Principal,
Argentina,2006-II,Payments on interest of debt held by the Central Bank,,Millions of USD,pay_int_CB,(81),Payments made,Central Bank,Interest,
Argentina,2006-II,Total payments made of debt held by the Central Bank,5793,Millions of USD,pay_CB_tot,(82)=(80)+(81),Payments made,Central Bank,Total,
Argentina,2006-II,Payments on principal of debt held by holders other than the Central Bank,,Millions of USD,pay_ppal_oth,(83),Payments made,Other holders,Principal,
Argentina,2006-II,Payments on interest of debt held by holders other than the Central Bank,,Millions of USD,pay_int_oth,(84),Payments made,Other holders,Interest,
Argentina,2006-II,Total payments made of debt held by holders other than the Central Bank,25964,Millions of USD,pay_oth_tot,(85)=(83)+(84),Payments made,Other holders,Total,
Argentina,2006-II,Total payments made (obtained by adding payments by holder),31757,Millions of USD,pay_tot_holders,(86)= (82)+(85),Payments made,Total,Total,
Argentina,2006-II,Percentage of total debt issued in (non indexed) foreign currency,60,% of total debt,bycurr_debt_for,-,By currency ,Foreign,Foreign,
Argentina,2006-II,Percentage of total debt issued in (non indexed) domestic currency,6,% of total debt,bycurr_debt_dom,-,By currency ,Domestic ,Domestic ,
Argentina,2006-II,Percentage of total debt issued in indexed currency,35,% of total debt,bycurr_debt_index,-,By currency ,Indexed,Indexed,
Argentina,2006-II,Payments due in the current or next year on principal of external debt,2581,Millions of USD,due_1y_ppal_ext,-,Payments due in current or next year,Principal,External,
Argentina,2006-II,Payments due in the current or next year on principal of internal debt,14349,Millions of USD,due_1y_ppal_int,-,Payments due in current or next year,Principal,Internal,
Argentina,2006-II,Payments due in the current or next year on principal of internal and external debt,16930,Millions of USD,due_1y_ppal_tot,-,Payments due in current or next year,Principal,Total,
Argentina,2006-II,Payments due in the current or next year on interest of external debt,1242,Millions of USD,due_1y_int_ext,-,Payments due in current or next year,Interest,External,
Argentina,2006-II,Payments due in the current or next year on interest of internal debt,2662,Millions of USD,due_1y_int_int,-,Payments due in current or next year,Interest,Internal,
Argentina,2006-II,Payments due in the current or next year on interest of internal and external debt,3904,Millions of USD,due_1y_int_tot,-,Payments due in current or next year,Interest,Total,
Argentina,2006-II,Total payments due in the current or next year (obtained by adding principal and interest payments),20834,Millions of USD,due_1y_tot_kind,-,Payments due in current or next year,Total,Total,
Argentina,2006-II,Payments due in 2 years on principal of external debt,2205,Millions of USD,due_2y_ppal_ext,-,Payments due in 2 years,Principal,External,
Argentina,2006-II,Payments due in 2 years on principal of internal debt,5514,Millions of USD,due_2y_ppal_int,-,Payments due in 2 years,Principal,Internal,
Argentina,2006-II,Payments due in 2 years on principal of internal and external debt,7720,Millions of USD,due_2y_ppal_tot,-,Payments due in 2 years,Principal,Total,
Argentina,2006-II,Payments due in 2 years on interest of external debt,1078,Millions of USD,due_2y_int_ext,-,Payments due in 2 years,Interest,External,
Argentina,2006-II,Payments due in 2 years on interest of internal debt,2460,Millions of USD,due_2y_int_int,-,Payments due in 2 years,Interest,Internal,
Argentina,2006-II,Payments due in 2 years on interest of internal and external debt,3538,Millions of USD,due_2y_int_tot,-,Payments due in 2 years,Interest,Total,
Argentina,2006-II,Total payments due in 2 years (obtained by adding principal and interest payments),11258,Millions of USD,due_2y_tot_kind,-,Payments due in 2 years,Total,Total,
Argentina,2006-II,Payments due in 3 years on principal of external debt,1543,Millions of USD,due_3y_ppal_ext,-,Payments due in 3 years,Principal,External,
Argentina,2006-II,Payments due in 3 years on principal of internal debt,7638,Millions of USD,due_3y_ppal_int,-,Payments due in 3 years,Principal,Internal,
Argentina,2006-II,Payments due in 3 years on principal of internal and external debt,9181,Millions of USD,due_3y_ppal_tot,-,Payments due in 3 years,Principal,Total,
Argentina,2006-II,Payments due in 3 years on interest of external debt,1145,Millions of USD,due_3y_int_ext,-,Payments due in 3 years,Interest,External,
Argentina,2006-II,Payments due in 3 years on interest of internal debt,2339,Millions of USD,due_3y_int_int,-,Payments due in 3 years,Interest,Internal,
Argentina,2006-II,Payments due in 3 years on interest of internal and external debt,3485,Millions of USD,due_3y_int_tot,-,Payments due in 3 years,Interest,Total,
Argentina,2006-II,Total payments due in 3 years (obtained by adding principal and interest payments),12666,Millions of USD,due_3y_tot_kind,-,Payments due in 3 years,Total,Total,
Argentina,2006-II,Payments due in 4 years on principal of external debt,1449,Millions of USD,due_4y_ppal_ext,-,Payments due in 4 years,Principal,External,
Argentina,2006-II,Payments due in 4 years on principal of internal debt,6127,Millions of USD,due_4y_ppal_int,-,Payments due in 4 years,Principal,Internal,
Argentina,2006-II,Payments due in 4 years on principal of internal and external debt,7575,Millions of USD,due_4y_ppal_tot,-,Payments due in 4 years,Principal,Total,
Argentina,2006-II,Payments due in 4 years on interest of external debt,1131,Millions of USD,due_4y_int_ext,-,Payments due in 4 years,Interest,External,
Argentina,2006-II,Payments due in 4 years on interest of internal debt,2085,Millions of USD,due_4y_int_int,-,Payments due in 4 years,Interest,Internal,
Argentina,2006-II,Payments due in 4 years on interest of internal and external debt,3216,Millions of USD,due_4y_int_tot,-,Payments due in 4 years,Interest,Total,
Argentina,2006-II,Total payments due in 4 years (obtained by adding principal and interest payments),10791,Millions of USD,due_4y_tot_kind,-,Payments due in 4 years,Total,Total,
Argentina,2006-II,Payments due in 5 years on principal of external debt,1272,Millions of USD,due_5y_ppal_ext,-,Payments due in 5 years,Principal,External,
Argentina,2006-II,Payments due in 5 years on principal of internal debt,8150,Millions of USD,due_5y_ppal_int,-,Payments due in 5 years,Principal,Internal,
Argentina,2006-II,Payments due in 5 years on principal of internal and external debt,9423,Millions of USD,due_5y_ppal_tot,-,Payments due in 5 years,Principal,Total,
Argentina,2006-II,Payments due in 5 years on interest of external debt,1058,Millions of USD,due_5y_int_ext,-,Payments due in 5 years,Interest,External,
Argentina,2006-II,Payments due in 5 years on interest of internal debt,1791,Millions of USD,due_5y_int_int,-,Payments due in 5 years,Interest,Internal,
Argentina,2006-II,Payments due in 5 years on interest of internal and external debt,2850,Millions of USD,due_5y_int_tot,-,Payments due in 5 years,Interest,Total,
Argentina,2006-II,Total payments due in 5 years (obtained by adding principal and interest payments),12272,Millions of USD,due_5y_tot_kind,-,Payments due in 5 years,Total,Total,
Argentina,2006-II,Payments due in 6 to 10 years on principal of external debt,4262,Millions of USD,due_6y_10y_ppal_ext,-,Payments due in 6 to 10 yearss,Principal,External,
Argentina,2006-II,Payments due in 6 to 10 years on principal of internal debt,24779,Millions of USD,due_6y_10y_ppal_int,-,Payments due in 6 to 10 yearss,Principal,Internal,
Argentina,2006-II,Payments due in 6 to 10 years on principal of internal and external debt,29041,Millions of USD,due_6y_10y_ppal_tot,-,Payments due in 6 to 10 yearss,Principal,Total,
Argentina,2006-II,Payments due in 6 to 10 years on interest of external debt,4978,Millions of USD,due_6y_10y_int_ext,-,Payments due in 6 to 10 yearss,Interest,External,
Argentina,2006-II,Payments due in 6 to 10 years on interest of internal debt,7534,Millions of USD,due_6y_10y_int_int,-,Payments due in 6 to 10 yearss,Interest,Internal,
Argentina,2006-II,Payments due in 6 to 10 years on interest of internal and external debt,12512,Millions of USD,due_6y_10y_int_tot,-,Payments due in 6 to 10 yearss,Interest,Total,
Argentina,2006-II,Total payments due in 6 to 10 years (obtained by adding principal and interest payments),41553,Millions of USD,due_6y_10y_tot_kind,-,Payments due in 6 to 10 yearss,Total,Total,
Argentina,2006-II,Payments due in 11 years or more on principal of external debt,21068,Millions of USD,due_11y_ppal_ext,-,Payments due in 11 years or mores,Principal,External,
Argentina,2006-II,Payments due in 11 years or more on principal of internal debt,28505,Millions of USD,due_11y_ppal_int,-,Payments due in 11 years or mores,Principal,Internal,
Argentina,2006-II,Payments due in 11 years or more on principal of internal and external debt,49573,Millions of USD,due_11y_ppal_tot,-,Payments due in 11 years or mores,Principal,Total,
Argentina,2006-II,Payments due in 11 years or more on interest of external debt,15254,Millions of USD,due_11y_int_ext,-,Payments due in 11 years or mores,Interest,External,
Argentina,2006-II,Payments due in 11 years or more on interest of internal debt,17728,Millions of USD,due_11y_int_int,-,Payments due in 11 years or mores,Interest,Internal,
Argentina,2006-II,Payments due in 11 years or more on interest of internal and external debt,32983,Millions of USD,due_11y_int_tot,-,Payments due in 11 years or mores,Interest,Total,
Argentina,2006-II,Total payments due in 11 years or more (obtained by adding principal and interest payments),82555,Millions of USD,due_11y_tot_kind,-,Payments due in 11 years or mores,Total,Total,
Argentina,2006-II,Payments due in the current or next year on principal of debt held by the Central Bank,,Millions of USD,due_1y_ppal_CB,-,Payments due in current or next year,Central Bank,Principal,
Argentina,2006-II,Payments due in the current or next year on interest of debt held by the Central Bank,,Millions of USD,due_1y_int_CB,-,Payments due in current or next year,Central Bank,Interest,
Argentina,2006-II,Total payments due in the current or next year on both principal and interest of debt held by the Central Bank,6829,Millions of USD,due_1y_tot_CB,-,Payments due in current or next year,Central Bank,Total,
Argentina,2006-II,Payments due in the current or next year on principal of debt held by all other holders other than the Central Bank,,Millions of USD,due_1y_ppal_oth,-,Payments due in current or next year,Other holders,Principal,
Argentina,2006-II,Payments due in the current or next year on interest of debt held by all other holders other than the Central Bank,,Millions of USD,due_1y_int_oth,-,Payments due in current or next year,Other holders,Interest,
Argentina,2006-II,Total payments due in the current or next year on both principal and interest of debt held by all other holders other than the Central Bank,14005,Millions of USD,due_1y_tot_oth,-,Payments due in current or next year,Other holders,Total,
Argentina,2006-II,Payments due in 2 years on principal of debt held by the Central Bank,,Millions of USD,due_2y_ppal_CB,-,Payments due in 2 years,Central Bank,Principal,
Argentina,2006-II,Payments due in 2 years on interest of debt held by the Central Bank,,Millions of USD,due_2y_int_CB,-,Payments due in 2 years,Central Bank,Interest,
Argentina,2006-II,Total payments due in 2 years on both principal and interest of debt held by the Central Bank,876,Millions of USD,due_2y_tot_CB,-,Payments due in 2 years,Central Bank,Total,
Argentina,2006-II,Payments due in 2 years on principal of debt held by all other holders other than the Central Bank,,Millions of USD,due_2y_ppal_oth,-,Payments due in 2 years,Other holders,Principal,
Argentina,2006-II,Payments due in 2 years on interest of debt held by all other holders other than the Central Bank,,Millions of USD,due_2y_int_oth,-,Payments due in 2 years,Other holders,Interest,
Argentina,2006-II,Total payments due in 2 years on both principal and interest of debt held by all other holders other than the Central Bank,10381,Millions of USD,due_2y_tot_oth,-,Payments due in 2 years,Other holders,Total,
Argentina,2006-II,Payments due in 3 years on principal of debt held by the Central Bank,,Millions of USD,due_3y_ppal_CB,-,Payments due in 3 years,Central Bank,Principal,
Argentina,2006-II,Payments due in 3 years on interest of debt held by the Central Bank,,Millions of USD,due_3y_int_CB,-,Payments due in 3 years,Central Bank,Interest,
Argentina,2006-II,Total payments due in 3 years on both principal and interest of debt held by the Central Bank,867,Millions of USD,due_3y_tot_CB,-,Payments due in 3 years,Central Bank,Total,
Argentina,2006-II,Payments due in 3 years on principal of debt held by all other holders other than the Central Bank,,Millions of USD,due_3y_ppal_oth,-,Payments due in 3 years,Other holders,Principal,
Argentina,2006-II,Payments due in 3 years on interest of debt held by all other holders other than the Central Bank,,Millions of USD,due_3y_int_oth,-,Payments due in 3 years,Other holders,Interest,
Argentina,2006-II,Total payments due in 3 years on both principal and interest of debt held by all other holders other than the Central Bank,11799,Millions of USD,due_3y_tot_oth,-,Payments due in 3 years,Other holders,Total,
Argentina,2006-II,Payments due in 4 years on principal of debt held by the Central Bank,,Millions of USD,due_4y_ppal_CB,-,Payments due in 4 years,Central Bank,Principal,
Argentina,2006-II,Payments due in 4 years on interest of debt held by the Central Bank,,Millions of USD,due_4y_int_CB,-,Payments due in 4 years,Central Bank,Interest,
Argentina,2006-II,Total payments due in 4 years on both principal and interest of debt held by the Central Bank,862,Millions of USD,due_4y_tot_CB,-,Payments due in 4 years,Central Bank,Total,
Argentina,2006-II,Payments due in 4 years on principal of debt held by all other holders other than the Central Bank,,Millions of USD,due_4y_ppal_oth,-,Payments due in 4 years,Other holders,Principal,
Argentina,2006-II,Payments due in 4 years on interest of debt held by all other holders other than the Central Bank,,Millions of USD,due_4y_int_oth,-,Payments due in 4 years,Other holders,Interest,
Argentina,2006-II,Total payments due in 4 years on both principal and interest of debt held by all other holders other than the Central Bank,9929,Millions of USD,due_4y_tot_oth,-,Payments due in 4 years,Other holders,Total,
Argentina,2006-II,Payments due in 5 years on principal of debt held by the Central Bank,,Millions of USD,due_5y_ppal_CB,-,Payments due in 5 years,Central Bank,Principal,
Argentina,2006-II,Payments due in 5 years on interest of debt held by the Central Bank,,Millions of USD,due_5y_int_CB,-,Payments due in 5 years,Central Bank,Interest,
Argentina,2006-II,Total payments due in 5 years on both principal and interest of debt held by the Central Bank,557,Millions of USD,due_5y_tot_CB,-,Payments due in 5 years,Central Bank,Total,
Argentina,2006-II,Payments due in 5 years on principal of debt held by all other holders other than the Central Bank,,Millions of USD,due_5y_ppal_oth,-,Payments due in 5 years,Other holders,Principal,
Argentina,2006-II,Payments due in 5 years on interest of debt held by all other holders other than the Central Bank,,Millions of USD,due_5y_int_oth,-,Payments due in 5 years,Other holders,Interest,
Argentina,2006-II,Total payments due in 5 years on both principal and interest of debt held by all other holders other than the Central Bank,11715,Millions of USD,due_5y_tot_oth,-,Payments due in 5 years,Other holders,Total,
Argentina,2006-II,Payments due in 6 to 10 years on principal of debt held by the Central Bank,,Millions of USD,due_6y_10y_ppal_CB,-,Payments due in 6 to 10 yearss,Central Bank,Principal,
Argentina,2006-II,Payments due in 6 to 10 years on interest of debt held by the Central Bank,,Millions of USD,due_6y_10y_int_CB,-,Payments due in 6 to 10 yearss,Central Bank,Interest,
Argentina,2006-II,Total payments due in 6 to 10 years made on both principal and interest of debt held by the Central Bank,11582,Millions of USD,due_6y_10y_tot_CB,-,Payments due in 6 to 10 yearss,Central Bank,Total,
Argentina,2006-II,Payments due in 6 to 10 years on principal of debt held by all other holders other than the Central Bank,,Millions of USD,due_6y_10y_ppal_oth,-,Payments due in 6 to 10 yearss,Other holders,Principal,
Argentina,2006-II,Payments due in 6 to 10 years on interest of debt held by all other holders other than the Central Bank,,Millions of USD,due_6y_10y_int_oth,-,Payments due in 6 to 10 yearss,Other holders,Interest,
