Operation number,Output Description,Georeference,Country Name,Administrative code level 1,Administrative name level 1,Administrative code level 2,Administrative name level 2,Administrative code level 3,Administrative name level 3,Geoname ID,GeoNames Feature Code,Location Type
AR-L1004,"Para atender la demanda actual y lograr las metas en volumen, estadía promedio y proporción de visitantes extranjeros, el Corredor de los Lagos de la Patagonia Argentina requiere mejorar los niveles de infraestructura de sus atractivos turísticos. El programa busca atender los desafíos en los Parques Nacionales que constituyen el 70% del Circuito. En este caso, el El Parque Nacional Los Arrayanes.","-40.8574,-71.6144",Argentina,15,Neuquen,,,,,7873995,PRK,Exact Location
AR-L1004,"Verificación de la cubierta. Limpieza de limahoyas, canaletas y bocas de desagüe. Verificaciones correspondientes de todas las cañerías,cámaras de inspección y rejillas del sistema de desagüespluvial y cloacal. Limpieza y desinfección de los tanques de agua.Revisión de la estructura. Revisión y repaso de pintura (de ser necesario) Parquización. Recarga de matafuegos. Verificar instalación de agua para evitar congelamiento. Revisión de revestimientos recuperados y nuevos.","-41.0295,-71.4918",Argentina,16,Rio Negro,,,,,7284765,HTL,Exact Location
AR-L1007,"La Unidad Sanitaria Villanueva, de 268 m2, está conformada por distintos consultorios, locales de apoyo, offices, sala de espera, recepcion y consultorio odontologico con equipos de rayos X","-34.5815,-58.768",Argentina,1,Buenos Aires,,,,,9036345,AIRP,Exact Location
AR-L1007,Se Financió la construcción y el equipamiento.El objetivo de beneficiarios es la población de los municipios intervenidos por el Programa en la provincia de Buenos Aires. Se logró incrementar el número de consultas en CAPS (centros de Atención Primaria de la Salud) intervenidos por el Programa de 361.500 en 2007 a 520.000 en 2013.,"-34.3314,-58.7785",Argentina,1,Buenos Aires,,,,,3436079,PPLA2,Exact Location
AR-L1007,Se Financió la construcción y el equipamiento.El objetivo de beneficiarios es la población de los municipios intervenidos por el Programa en la provincia de Buenos Aires. Se logró incrementar el número de consultas en CAPS (centros de Atención Primaria de la Salud) intervenidos por el Programa de 361.500 en 2007 a 520.000 en 2013.,"-34.583,-59.0947",Argentina,1,Buenos Aires,3430982,Partido de Luján,,,3430988,PPLA2,Exact Location
AR-L1007,Se Financió la construcción y el equipamiento.El objetivo de beneficiarios es la población de los municipios intervenidos por el Programa en la provincia de Buenos Aires. Se logró incrementar el número de consultas en CAPS (centros de Atención Primaria de la Salud) intervenidos por el Programa de 361.500 en 2007 a 520.000 en 2013.,"-34.6493,-58.837",Argentina,1,Buenos Aires,,,,,3431949,PPL,Exact Location
AR-L1007,Se Financió la construcción y el equipamiento.El objetivo de beneficiarios es la población de los municipios intervenidos por el Programa en la provincia de Buenos Aires. Se logró incrementar el número de consultas en CAPS (centros de Atención Primaria de la Salud) intervenidos por el Programa de 361.500 en 2007 a 520.000 en 2013.,"-34.6956,-58.6917",Argentina,1,Buenos Aires,,,,,3431366,PPL,Exact Location
AR-L1007,Se Financió la construcción y el equipamiento.El objetivo de beneficiarios es la población de los municipios intervenidos por el Programa en la provincia de Buenos Aires. Se logró incrementar el número de consultas en CAPS (centros de Atención Primaria de la Salud) intervenidos por el Programa de 361.500 en 2007 a 520.000 en 2013.,"-34.6961,-58.4392",Argentina,1,Buenos Aires,,,,,3435666,PPL,Exact Location
AR-L1007,Se Financió la construcción y el equipamiento.El objetivo de beneficiarios es la población de los municipios intervenidos por el Programa en la provincia de Buenos Aires. Se logró incrementar el número de consultas en CAPS (centros de Atención Primaria de la Salud) intervenidos por el Programa de 361.500 en 2007 a 520.000 en 2013.,"-34.7055,-58.7055",Argentina,1,Buenos Aires,,,,,3431366,PPL,Exact Location
AR-L1007,Se Financió la construcción y el equipamiento.El objetivo de beneficiarios es la población de los municipios intervenidos por el Programa en la provincia de Buenos Aires. Se logró incrementar el número de consultas en CAPS (centros de Atención Primaria de la Salud) intervenidos por el Programa de 361.500 en 2007 a 520.000 en 2013.,"-34.7453,-58.4799",Argentina,1,Buenos Aires,,,,,3433241,RSTP,Exact Location
AR-L1007,Se Financió la construcción y el equipamiento.El objetivo de beneficiarios es la población de los municipios intervenidos por el Programa en la provincia de Buenos Aires. Se logró incrementar el número de consultas en CAPS (centros de Atención Primaria de la Salud) intervenidos por el Programa de 361.500 en 2007 a 520.000 en 2013.,"-34.7748,-58.8187",Argentina,1,Buenos Aires,3430867,Partido de Marcos Paz,,,3430868,PPLA2,Exact Location
AR-L1007,Se Financió la construcción y el equipamiento.El objetivo de beneficiarios es la población de los municipios intervenidos por el Programa en la provincia de Buenos Aires. Se logró incrementar el número de consultas en CAPS (centros de Atención Primaria de la Salud) intervenidos por el Programa de 361.500 en 2007 a 520.000 en 2013.,"-34.7956,-58.4851",Argentina,1,Buenos Aires,,,,,6957042,HTL,Exact Location
AR-L1007,Se Financió la construcción y el equipamiento.El objetivo de beneficiarios es la población de los municipios intervenidos por el Programa en la provincia de Buenos Aires. Se logró incrementar el número de consultas en CAPS (centros de Atención Primaria de la Salud) intervenidos por el Programa de 361.500 en 2007 a 520.000 en 2013.,"-34.8299,-58.2196",Argentina,1,Buenos Aires,,,,,3433238,RSTP,Exact Location
AR-L1007,Se Financió la construcción y el equipamiento.El objetivo de beneficiarios es la población de los municipios intervenidos por el Programa en la provincia de Buenos Aires. Se logró incrementar el número de consultas en CAPS (centros de Atención Primaria de la Salud) intervenidos por el Programa de 361.500 en 2007 a 520.000 en 2013.,"-34.8415,-58.3695",Argentina,1,Buenos Aires,,,,,3430679,PPL,Exact Location
AR-L1007,Se Financió la construcción y el equipamiento.El objetivo de beneficiarios es la población de los municipios intervenidos por el Programa en la provincia de Buenos Aires. Se logró incrementar el número de consultas en CAPS (centros de Atención Primaria de la Salud) intervenidos por el Programa de 361.500 en 2007 a 520.000 en 2013.,"-34.8609,-57.9191",Argentina,1,Buenos Aires,3434140,Partido de Ensenada,,,3434140,ADM2,Exact Location
AR-L1007,Se Financió la construcción y el equipamiento.El objetivo de beneficiarios es la población de los municipios intervenidos por el Programa en la provincia de Buenos Aires. Se logró incrementar el número de consultas en CAPS (centros de Atención Primaria de la Salud) intervenidos por el Programa de 361.500 en 2007 a 520.000 en 2013.,"-34.8813,-58.4001",Argentina,1,Buenos Aires,,,,,3431258,RSTN,Exact Location
AR-L1007,Se Financió la construcción y el equipamiento.El objetivo de beneficiarios es la población de los municipios intervenidos por el Programa en la provincia de Buenos Aires. Se logró incrementar el número de consultas en CAPS (centros de Atención Primaria de la Salud) intervenidos por el Programa de 361.500 en 2007 a 520.000 en 2013.,"-36.76,-59.8489",Argentina,,,,,,,6300579,AIRP,Exact Location
AR-L1007,"El Hospital Materno Infantil de La Matanza está en etapa de finalización. Con 144 camas para internación general, 14 para cuidado intensivo y 15 puestos para neonatología, distribuidas en 77 habitaciones; contará tambien con atención ambulatoria, laboratorio de análisis clínicos, hemoterapia y anatomía patológica, diagnóstico por imagen, tratamiento y rehabilitación física, consultorios pediatricos, hospital de día, contención prehospitalaria; servicio de emergencia 24 hs y banco de sangre.","-34.7069,-58.533",Argentina,1,Buenos Aires,,,,,3433324,RSTN,Exact Location
AR-L1007,"El Hospital presenta una capacidad de 160 camas de internación general, 14 puestos para cuidados intensivos y 15 puestos para neonatología. El proyecto se completa, entre otros, con talleres de mantenimiento, torre de agua, residuos patogénicos, farmacia y estacionamiento descubierto para el personal.  La Superficie cubierta es de 19.480 m2. El área de influencia del hospital se caracteriza por abarcar un extenso territorio densamente poblado en condiciones críticas de acceso a la salud.","-34.7073,-58.5318",Argentina,1,Buenos Aires,,,,,3433324,RSTN,Exact Location
AR-L1007,Contribuyendo a aumentar la cobertura del nivel inicial en los distritos intervenidos por el Programa. Beneficiarios: 16.380 niños de entre 3 y 5 años de la Provincia de Buenos Aires.,"-34.2833,-60.2484",Argentina,1,Buenos Aires,3838222,Partido de Salto,,,3838227,PPLA2,Exact Location
AR-L1007,Contribuyendo a aumentar la cobertura del nivel inicial en los distritos intervenidos por el Programa. Beneficiarios: 16.380 niños de entre 3 y 5 años de la Provincia de Buenos Aires.,"-34.7075,-58.7467",Argentina,1,Buenos Aires,,,,,6956888,HTL,Exact Location
AR-L1007,Contribuyendo a aumentar la cobertura del nivel inicial en los distritos intervenidos por el Programa. Beneficiarios: 16.380 niños de entre 3 y 5 años de la Provincia de Buenos Aires.,"-34.7101,-58.721",Argentina,1,Buenos Aires,,,,,3431366,PPL,Exact Location
AR-L1007,Contribuyendo a aumentar la cobertura del nivel inicial en los distritos intervenidos por el Programa. Beneficiarios: 16.380 niños de entre 3 y 5 años de la Provincia de Buenos Aires.,"-34.7912,-58.2276",Argentina,20,Santa Cruz,,,,,6957037,HTL,Exact Location
AR-L1007,Contribuyendo a aumentar la cobertura del nivel inicial en los distritos intervenidos por el Programa. Beneficiarios: 16.380 niños de entre 3 y 5 años de la Provincia de Buenos Aires.,"-34.8797,-58.1796",Argentina,1,Buenos Aires,,,,,3435547,RSTP,Exact Location
AR-L1007,Contribuyendo a aumentar la cobertura del nivel inicial en los distritos intervenidos por el Programa. Beneficiarios: 16.380 niños de entre 3 y 5 años de la Provincia de Buenos Aires.,"-34.9011,-58.5978",Argentina,1,Buenos Aires,,,,,3435648,RSTP,Exact Location
AR-L1007,Contribuyendo a aumentar la cobertura del nivel inicial en los distritos intervenidos por el Programa. Beneficiarios: 16.380 niños de entre 3 y 5 años de la Provincia de Buenos Aires.,"-34.9063,-58.7066",Argentina,1,Buenos Aires,,,,,3480742,RNCH,Exact Location
AR-L1007,Contribuyendo a aumentar la cobertura del nivel inicial en los distritos intervenidos por el Programa. Beneficiarios: 16.380 niños de entre 3 y 5 años de la Provincia de Buenos Aires.,"-35.0089,-57.9283",Argentina,1,Buenos Aires,,,,,3433021,RNCH,Exact Location
AR-L1007,Contribuyendo a aumentar la cobertura del nivel inicial en los distritos intervenidos por el Programa. Beneficiarios: 16.380 niños de entre 3 y 5 años de la Provincia de Buenos Aires.,"-35.0703,-57.518",Argentina,1,Buenos Aires,3430951,Partido de Magdalena,,,3430957,PPLA2,Exact Location
AR-L1007,Contribuyendo a aumentar la cobertura del nivel inicial en los distritos intervenidos por el Programa. Beneficiarios: 16.380 niños de entre 3 y 5 años de la Provincia de Buenos Aires.,"-35.1695,-59.0883",Argentina,1,Buenos Aires,,,,,6956754,HTL,Exact Location
AR-L1007,Contribuyendo a aumentar la cobertura del nivel inicial en los distritos intervenidos por el Programa. Beneficiarios: 16.380 niños de entre 3 y 5 años de la Provincia de Buenos Aires.,"-38.0063,-59.2657",Argentina,1,Buenos Aires,,,,,3433292,PPL,Exact Location
AR-L1007,"El Jardin posee cuatro salas con su respectivo núcleo sanitario infantil y salida independiente al area de expansión, un salón de usos múltiples/ sala de música, un sector de lectura, una dirección/secretaría, una preceptoría, un sector de servicios compuesto por cocina, baño de discapacitados/docentes, sala de máquinas y patio de servicio y un patio descubierto con área de juegos infantiles. La superficie total:  386 m².","-34.9519,-57.9288",Argentina,1,Buenos Aires,,,,,3432040,RSTN,Exact Location
AR-L1007,"El Jardín Maternal “Gotitas de Amor”, inaugurado en diciembre de 2012, cuenta con guardería, varios salones, un amplio y luminoso salón de usos múltiples, cocina-comedor totalmente equipada, baños y muebles a medida de los pequeños, un patio interno parquizado con parrilla, y el sector de recreación suministrado por juegos realizados en su totalidad por cooperativistas de Cañuelas.","-35.0422,-58.7379",Argentina,1,Buenos Aires,,,,,3431240,FRM,Exact Location
AR-L1007,Unidad de Atención Infantil (UDI) construida cumpliendo con estándares y el equipamiento necesario.,"-34.1175,-59.0197",Argentina,1,Buenos Aires,3427212,Partido de Zárate,,,3427213,PPLA2,Exact Location
AR-L1007,Unidad de Atención Infantil (UDI) construida cumpliendo con estándares y el equipamiento necesario.,"-34.7739,-58.3412",Argentina,1,Buenos Aires,,,,,6957121,HTL,Exact Location
AR-L1007,Unidad de Atención Infantil (UDI) construida cumpliendo con estándares y el equipamiento necesario.,"-35.0778,-57.5073",Argentina,1,Buenos Aires,3430951,Partido de Magdalena,,,3430957,PPLA2,Exact Location
AR-L1007,Unidad de Atención Infantil (UDI) construida cumpliendo con estándares y el equipamiento necesario.,"-35.4036,-59.3385",Argentina,1,Buenos Aires,3429449,Partido de Roque Pérez,,,3429450,PPLA2,Exact Location
AR-L1007,Unidad de Atención Infantil (UDI) construida cumpliendo con estándares y el equipamiento necesario.,"-35.6117,-61.3642",Argentina,1,Buenos Aires,3862606,Partido de Carlos Casares,,,3862607,PPLA2,Exact Location
AR-L1007,Unidad de Atención Infantil (UDI) construida cumpliendo con estándares y el equipamiento necesario.,"-35.7009,-63.0197",Argentina,1,Buenos Aires,,,,,3855433,PPL,Exact Location
AR-L1007,Unidad de Atención Infantil (UDI) construida cumpliendo con estándares y el equipamiento necesario.,"-37.3189,-59.1379",Argentina,1,Buenos Aires,3427832,Partido de Tandil,,,3427833,PPLA2,Exact Location
AR-L1008,"En 2013 el Honorable Senado de la Nación implementó un nuevo sistema de votación electrónica en su recinto de sesiones, que fue adquirido por el Programa de Fortalecimiento Institucional y parcialmente financiado por el Banco Interamericano de Desarrollo.","-34.6098,-58.3927",Argentina,7,Buenos Aires F.D.,,,,,7729820,PAL,Exact Location
AR-L1008,"En Progreso. El sistema de voto electrónico está integrado por diversos módulos que permiten la gestión de las diferentes tareas vinculadas a la labor de los senadores. De esta manera, se concentran en la terminal dispuesta en la banca la posibilidad de realizar las tareas relativas a la acreditación de la presencia del legislador, el pedido de palabra y la emisión del voto, hasta otras opciones, tales como la consulta del orden del día y la lectura de los proyectos en discusión, entre otros.","-34.6098,-58.3922",Argentina,7,Buenos Aires F.D.,,,,,3435259,PPLX,Exact Location
AR-L1013,Este proyecto apoyó a la organización de pequeños productores mejorando su infraestructura y equipamiento y capacitando a sus dirigentes para que presten mejores servicios a sus asociados. Esta acción forma parte de un conjunto de apoyos a este conglomerado de pequeños productores para que aumenten su productividad.,"-27.4919,-58.8217",Argentina,6,Corrientes,,,,,3435217,PPLA,Exact Location
AR-L1013,"El objetivo de este proyecto fue Mejorar el sistema de comercialización de hacienda en la localidad de Clorinda. Para ello se previó la construcción y el mejoramiento de corrales e instalaciones de remate de la Sociedad Rural de Clorinda, y de la construcción de oficinas, a fin de poder comercializar la hacienda de los productores aledaños.","-25.2954,-57.7817",Argentina,9,Formosa,,,,,3433760,HSE,Exact Location
AR-L1013,El proyecto financió la construcción y puesta en marcha de un centro multiplicador porcino para difundir material genético adaptado a las condiciones locales y así mejorar la productividad de productores porcinos tucumanos.,"-26.8287,-65.2095",Argentina,24,Tucumán,3862748,Departamento de Capital,,,3862748,ADM2,Exact Location
AR-L1013,El proyecto financió nuevas instalaciones de remate de hacienda de uso colectvio para reducir costos de logística y comercialización ganadera en Formosa.,"-25.2871,-57.7155",Argentina,9,Formosa,,,,,3435364,PPLA2,Exact Location
AR-L1013,"Lavadora de zanahorias para cooperativa hortícola de Santiago del Estero. El objetivo del proyecto es agregar valor a la producción de zanahoria de la región, mediante el lavado, selección, clasificación y empaque automatizado del producto, para aprovechar las condiciones climáticas locales permitiendo obtener productos de calidad en condición de “primicia”, logrando un precio diferencial para los productores generando una mejora sustancial y sostenida de los precios.","-27.7827,-64.2702",Argentina,22,Santiago del Estero,,,,,6519176,HTL,Exact Location
AR-L1013,"Mejora de productividad del sistema de esquila de camélidos de Jujuy. El objetivo del proyecto fue la Conformación de comparsas de esquila que brinden el servicio de esquila a los socios de las cooperativas y centros de acopio de la Puna, con el objetivo de  ampliar  el volumen y la calidad de fibra acopiada. Los beneficios incluyeron una mejora del precio recibido por los productores por su fibra, dotarlos de capacidad financiera mejorando sus rendimientos y capacidad de negociación colectiva.","-24.1702,-65.3333",Argentina,10,Jujuy,3862750,Departamento de Doctor Manuel Belgrano,,,3862750,ADM2,Exact Location
AR-L1013,Modernización del CEDETEMA (Centro de Desarrollo Tecnológico de la Madera) para la prestación de nejores servicios productivos y comerciales a los productores del conglomerado maderero chaqueño.,"-26.9338,-60.0738",Argentina,3,Chaco,,,,,3845330,PPLA2,Exact Location
AR-L1013,"Proyecto de mejora competitiva para Pymes Muebleras de Misiones. El proyecto apunta a mejorar los niveles de gestión empresaria e incrementar la incorporación de elementos de diseño en la producción de las pequeñas y medianas empresas muebleras misioneras. Los facilitadores en tecnología brindan asistencia en tecnología, supervisada por los especialistas del INTI, orientada a mejorar la eficiencia productiva.","-27.3702,-55.9012",Argentina,14,Misiones,3435699,Departamento de Capital,,,3429886,PPLA,Exact Location
AR-L1014,,"0,0",,,,,,,,6295630,AREA,Approximate Location
AR-L1014,"Construccion de obras basicas, pavimento, pasos cañeros y puentes, construccion de una calzada de 4 trochas con cantero central en el acceso a Concepción, 8 puentes sobre rios, arroyos, canales y rutas, 3 cruces transversales bajo nivel, tipo ""cruces cañeros"" sobre caminos vecinales en el tramo: Río Marapa - Principio Autopisa, Sección 3. (26,6 kilómetros). Cantidad aproximada de Beneficiarios: 89.100","-27.2119,-65.4705",Argentina,24,Tucumán,,,,,3853753,HSE,Exact Location
AR-L1014,"Duplicación de calzada, obras básicas, pavimentos y puentes, señalización vertical y horizontal, iluminación e intersecciones en 29,19 kilómetros. Cantidad aproximada de Beneficiarios: 22.300","-30.205,-57.9678",Argentina,6,Corrientes,,,,,3430674,RNCH,Exact Location
AR-L1014,"Duplicación de calzada, obras básicas, pavimentos y puentes, señalización vertical y horizontal, iluminación e intersecciones en 32,38 kilómetros. Cantidad aproximada de Beneficiarios: 22.089","-29.9883,-57.7066",Argentina,6,Corrientes,,,,,3431365,AGRC,Exact Location
AR-L1014,"Construcción de Obra Básica, Obras de Arte y Pavimentación en el tramo: Colonia Cano - El Colorado. Sección 2: Lucio V. Mansilla - Arroyo El Alazán. Sub-sección 1: Lucio V. Mansilla - Prog. 22.800. (23,4 kilómetros). Cantidad aproximada de Beneficiarios: 3.000","-26.5841,-58.695",Argentina,9,Formosa,,,,,3427439,PPL,Exact Location
AR-L1014,"Mejoramiento y construcción de obras básicas, pavimento de hormigón y proyecto de forestación en el Tramo Capitán Solari - Colonias Unidas. (13,05 kilómetros). Cantidad aproximada de Beneficiarios: 7.000","-26.7244,-59.655",Argentina,3,Chaco,,,,,3435295,PPL,Exact Location
AR-L1014,"Pavimentación, señalización vertical y horizontal, refugios peatonales, renovación y construcción de alcantarillas e iluminación e intersecciones con las rutas Nacionales N°64 y N°9 en el tramo Termas de Rio Hondo - Santa Catalina, Secciones I y II. (83 kilómetros). Cantidad aproximada de Beneficiarios: 52.000","-27.8925,-64.7941",Argentina,22,Santiago del Estero,,,,,3848254,HSE,Exact Location
AR-L1014,"Vinculación RP Nº 2, por Avenida de Circunvalación de la Ciudad de Formosa, Tramo Avenida de Circunvalación de la Cuenca del Riacho Formosa","-26.1704,-58.1666",Argentina,9,Formosa,,,,,6956725,HTL,Exact Location
AR-L1014,"Recuperación y ensanche de 6 a 7,30m de la calzada existente; mejorando así las condiciones de capacidad y seguridad del camino, construcción de obras de arte menores, señalización vertical y horizontal, banquinas de estabilizado granular, refugios de pasajeros y forestación en el tramo Cevil Pozo - Los Ralos. (12,4 kilómetros). Cantidad aproximada de Beneficiarios: 20.000","-26.8703,-65.0368",Argentina,24,Tucumán,,,,,3832645,PPL,Exact Location
AR-L1014,"Rehabilitación del paquete estructural, construcción de obra básica y pavimento de una vía de dos trochas, con sectores de reciclado asfáltico, señalización vertical y horizontal en el Empalme Ruta Nacional N°89 - Empalme Acceso a Venados Grandes, Sección 1. (27 kilómetros). Cantidad aproximada de Beneficiarios: 23.176","-27.36,-61.2989",Argentina,3,Chaco,,,,,3855073,RSTP,Exact Location
AR-L1014,"Rehabilitación, ensanche y repavimentación de calzada, renovación de alcantarillas, construcción de refugios peatonales, señalización e iluminación, rotondas y paradas de ómnibus en el Tramo: Frías - Loreto. (102 Kilómetros). Cantidad aproximada de Beneficiarios: 15.000","-28.3541,-64.3676",Argentina,22,Santiago del Estero,3846597,Departamento de Loreto,,,3833480,PPL,Exact Location
AR-L1014,"Construcción de calzada doble de pavimento rígido, cantero central, veredas peatonales, ciclo vía y construcción de un puente de 60.60 m. de longitud, obras de arte menores, iluminación y señalización vertical y horizontal en el tramo: Avenida de Circunvalación de la Cuenca del Riacho Formosa entre Avenida E. L. Maradona y Avenida González Lelong. (3,56 kilómetros). Cantidad aproximada de Beneficiarios: 200.000","-26.1736,-58.1672",Argentina,9,Formosa,,,,,6956725,HTL,Exact Location
AR-L1014,"Reestructuración sobre el trazado existente, construcción de una vía de dos trochas separadas por cantero central, con cuatro intersecciones rotatorias ubicadas en los principales accesos a las plantas industriales y un paso alto nivel sobre las vías del FFCC Gral. Mitre. Señalización vertical y horizontal, alcantarillas, iluminación, forestación. Tramo: Banda del Río Salí - Cevil Pozo. (4 kilómetros). Cantidad aproximada de benficiarios: 105.000","-26.8469,-65.128",Argentina,24,Tucumán,,,,,3861959,PPL,Exact Location
AR-L1015,"El proyecto consistió en la ampliación y rehabilitación de los canales Los Puestos y San Antonio, cuyas longitudes son de 14.800 m y 3.800 m respectivamente y están ubicados en la Provincia de Tucumán. La sección transversal se llevó a un ancho de fondo final de 15 m. en Los Puestos y 7,5 m. en San Antonio.  Se contruyeron terraplenes, obras de acometida y 7 puentes. La obra permite la recuperación para producción agrícola de 15.000 has. aprox., protegiendo de inundaciones a 450 hogares.","-27.2946,-64.9871",Argentina,24,Tucumán,,,,,3845682,PPL,Exact Location
AR-L1015,"El proyecto de provisión de agua potable incluye un acueducto de 27km que abastece desde la ciudad de Resistencia a las localidades Margarita Belén y Colonia Benítez. Se instaló la Cisterna Norte (3.000 m3) en el punto inicial del acueducto y 2 cisternas de almacenamiento en Margarita Belén (1.100 m3) y en Colonia Benítez (500 m3), con sus respectivas salas de bombas y cloración. El programa soluciona falencias en calidad y cantidad de agua potable abastecida y beneficia a 22.000 habitantes.","-27.26,-58.97",Argentina,3,Chaco,,,,,3430857,PPLA2,Exact Location
AR-L1015,"La obra consiste en la optimización  de la capacidad de producción de la actual Planta Nueva en la ciudad de Resistencia. La planta producirá un caudal de agua potable de 6.000 m3/hr, el doble del que se trata actualmente, con el fin de abastecer las necesidades actuales y futuras de agua potable a las localidades del Gran Resistencia. Población beneficiaria 400.000 habitantes","-27.4185,-59.0379",Argentina,3,Chaco,,,,,3435853,RSTN,Exact Location
AR-L1015,"Las obras consisten en: una toma sobre pontón flotante y presedimentador de 3 módulos. El acueducto tiene una longitud de 10 Km., con un diámetro nominal de 400 mm y 1,5 Km de desagüe. La planta de tratamiento procesará 200 m3/h. La cisterna poseerá la capacidad de almacenamiento  para la población proyectada para el año 2024, mientras que la demanda para el año 2039 será cubierta por un tanque elevado. Población beneficiaria 35.000 habitantes.","-27.0404,-58.6945",Argentina,3,Chaco,,,,,3432355,PPLA2,Exact Location
AR-L1015,"Reacondicionamiento y ampliación de la nueva planta de agua potable de Gran Resistencia.  El objetivo fue dar respuesta a los requerimientos de agua potable del área metropolitana del Gran Resistencia, mejorando la calidad de vida de la comunidad a través de las siguientes acciones:Duplicar aproximadamente la producción media horaria de la Planta Nueva Resistencia, de 3.000 m3/h a 6.000 m3/h. Optimizar la Planta La Toma para asegurar una producción de 2.100 m3/h.","-27.4705,-58.9083",Argentina,3,Chaco,,,,,3430435,STM,Exact Location
AR-L1015,"Representa el aumento del doble de la capacidad actual de la Planta de Tratamiento existente. Esta obra permitirá cubrir la demanda prevista hasta los años 2024 y 2039 respectivamente. También forma parte de la misma, la ampliación del sistema de distribución y de mallas maestras. Estimando su reemplazo en forma completa para el fin del período de diseño. Con la ejecución de esta obra se beneficiaran 73.000 habitantes.","-26.5334,-59.3443",Argentina,3,Chaco,,,,,3433803,PPLA2,Exact Location
AR-L1015,La obra consiste en la construcción de 137.000 m de redes domiciliarias cuyos diámetros varían entre 160 mm y 250 mm junto con 9.700 metros de conexiones domiciliarias externas aproximadamente y dos Estaciones de Bombeo. Población Beneficiada: 66.000 habitantes.,"-27.4947,-64.8577",Argentina,22,Santiago del Estero,,,,,3834502,PPLA2,Exact Location
